Time(ms),Ax(g),Ay(g),Az(g)
31687,0.841,-0.292,0.477
31737,0.626,-0.079,0.490
31789,0.947,0.099,0.577
31839,0.366,-0.199,0.532
31891,0.265,0.476,0.864
31942,-0.382,-0.341,1.318
31993,-0.169,-0.109,1.316
32043,-1.321,0.808,1.970
32095,-0.981,-0.362,1.792
32145,0.569,0.145,1.149
32197,0.403,0.044,0.609
32247,0.858,-0.160,0.230
32299,0.415,0.313,0.101
32349,0.473,0.102,0.481
32401,0.096,-0.164,0.763
32452,0.150,0.379,1.265
32508,0.696,-0.240,0.191
32560,-0.190,0.553,0.063
32611,0.521,-0.348,0.911
32661,-0.538,-0.523,1.445
32713,-0.405,0.160,0.942
32764,-1.043,-0.674,1.840
32815,-0.269,0.752,1.729
32865,0.462,0.378,0.299
32917,0.808,-0.254,0.485
32967,0.593,0.839,0.496
33019,-0.239,0.173,0.743
33069,0.083,-0.679,1.395
33121,-1.239,0.587,1.965
33172,-0.822,0.047,1.970
33223,-0.061,-0.786,1.357
33274,0.082,-0.339,0.379
33325,0.616,-0.421,0.503
33376,0.584,0.857,0.366
33427,0.725,0.533,0.630
33477,0.658,-0.501,0.462
33529,0.156,0.839,0.847
33579,0.015,0.391,0.656
33631,-0.881,-0.307,1.970
33682,-0.464,-0.038,1.970
33733,0.030,-0.013,1.646
33784,-1.149,0.081,1.760
33835,1.071,-0.368,0.910
33885,0.513,-0.214,0.409
33937,0.785,0.605,0.547
33988,0.467,0.016,0.356
34039,0.598,-0.382,0.651
34089,0.013,1.145,0.968
34141,-0.500,0.602,1.405
34191,-1.123,-0.105,1.970
34243,-0.997,0.033,1.970
34293,0.666,-0.431,1.281
34345,0.359,-0.023,0.524
34395,0.603,-0.748,0.160
34447,0.310,-0.172,0.343
34497,0.793,1.089,0.446
34549,0.055,-0.198,0.958
34599,0.169,-0.115,0.947
34651,-1.271,1.063,1.942
34701,-0.418,-0.288,1.836
34753,0.321,0.003,1.408
34803,-0.569,0.406,1.633
34855,1.182,-0.445,0.592
34905,0.434,0.523,-0.016
34964,0.506,0.225,0.554
35015,1.143,-0.439,0.463
35066,0.991,0.206,0.722
35116,0.905,-0.346,0.410
35168,0.070,0.572,0.375
35219,-0.138,0.053,0.611
35270,-0.684,-0.419,1.783
35320,-0.362,0.907,1.790
35372,-1.357,-0.142,1.970
35423,-0.233,-0.651,1.510
35474,0.380,-0.204,0.492
35524,0.561,0.286,0.424
35576,0.645,0.387,0.149
35626,0.531,0.041,0.512
35678,0.285,-0.604,0.666
35729,-1.190,0.676,1.486
35780,-0.214,-0.041,1.713
35830,0.144,-0.788,0.998
35882,0.366,-0.165,0.658
35933,0.345,-0.357,0.565
35984,0.703,-0.819,0.454
36034,0.461,0.429,0.460
36086,0.202,-0.006,0.568
36137,0.124,0.531,0.911
36189,-1.102,0.556,1.970
36240,-0.441,0.073,1.970
36291,-0.606,-0.582,1.688
36342,0.201,-0.790,0.511
36393,0.547,-0.287,0.626
36444,0.598,0.855,0.287
36495,0.723,0.423,0.593
36546,0.740,-0.573,0.401
36597,0.008,0.667,0.855
36647,-0.079,0.388,0.843
36699,-0.880,-0.667,1.859
36750,-1.071,-0.080,1.970
36801,0.188,-0.328,1.588
36852,-0.437,0.338,1.287
36903,1.037,-0.777,0.641
36954,0.527,-0.165,0.387
37005,0.720,0.748,0.422
37055,0.303,-0.089,0.953
37107,0.356,-0.359,0.830
37157,-0.977,0.750,1.578
37209,-0.710,0.333,1.660
37260,0.116,-0.545,1.145
37311,-0.411,-0.093,1.835
37361,0.981,-0.298,0.648
37413,0.420,0.476,0.343
37464,0.838,-0.632,0.254
37515,0.364,-0.136,0.153
37565,0.057,1.051,0.613
37617,-0.225,-0.311,1.063
37667,-0.213,-0.220,1.148
37719,-1.459,0.702,1.970
37769,-0.966,-0.448,1.969
37821,0.547,0.093,0.328
37871,0.212,0.238,0.743
37923,0.933,-0.187,0.225
37973,0.735,0.408,0.452
38025,0.567,-0.048,0.563
38075,0.094,-0.111,0.666
38127,0.163,0.337,1.217
38178,-1.567,-0.617,1.970
38229,-0.745,0.406,1.908
38279,-0.599,0.316,1.845
38331,0.422,-0.821,1.231
38381,0.812,0.604,0.466
38433,0.613,0.346,0.348
38483,0.909,-0.118,0.422
38535,0.506,0.267,1.010
38585,0.257,-0.102,0.741
38646,0.125,-0.049,0.955
38697,-1.732,-0.068,1.970
38748,-1.029,-0.382,1.727
38798,0.197,-0.488,0.684
38850,0.707,0.847,0.661
38900,0.650,0.345,0.597
38952,0.785,-0.736,0.407
39002,0.347,0.449,0.679
39054,0.168,0.197,0.582
39104,-0.213,-0.464,1.617
39156,-0.464,0.273,1.485
39207,-0.440,-0.327,1.950
39258,-1.271,0.704,1.866
39308,0.516,-0.630,0.511
39360,0.322,-0.688,0.580
39410,0.598,0.723,0.472
39462,0.455,-0.285,0.398
39512,0.771,-0.293,0.574
39564,-0.379,0.768,0.951
39614,0.060,0.524,1.086
39666,-1.144,-0.401,1.970
39716,-1.260,-0.022,1.970
39768,0.627,-0.187,0.799
39818,0.210,0.128,0.647
39873,0.247,-0.735,0.587
39924,-0.200,0.433,1.231
39975,-0.520,0.042,1.556
40025,-1.074,0.243,1.929
40077,-0.729,0.007,1.970
40127,0.693,-0.406,0.853
40179,0.268,0.694,0.437
40230,0.929,-0.378,0.440
40281,0.389,0.027,0.244
40331,0.782,0.021,0.821
40383,-0.307,-0.257,1.211
40434,0.117,0.354,1.079
40485,-1.311,0.516,1.970
40535,-0.486,-0.373,1.700
40587,0.274,-0.051,1.425
40638,-0.122,0.190,1.434
40689,1.170,-0.515,0.609
40739,0.735,0.165,0.455
40791,0.874,-0.145,0.397
40842,0.203,0.771,0.219
40893,0.012,-0.134,0.510
40944,-0.310,-0.404,1.205
40995,-0.069,0.470,1.609
41045,-1.829,-0.518,1.970
41101,0.346,0.771,0.741
41152,0.466,-0.182,0.653
41203,-0.341,0.993,0.674
41253,-0.299,-0.109,1.062
41305,-1.535,-0.601,1.970
41355,-0.356,0.554,1.806
41407,0.331,0.105,1.240
41458,0.665,-0.729,0.551
41509,0.692,0.127,0.341
41559,0.603,0.539,0.284
41611,0.451,0.296,0.473
41661,0.087,0.148,1.276
41713,-0.235,-0.418,1.639
41764,-1.717,0.390,1.970
41815,-0.379,-0.293,1.214
41865,0.383,-0.817,0.759
41917,0.761,1.025,0.796
41967,0.647,0.041,0.593
42019,0.719,-0.331,0.446
42069,0.089,0.713,0.313
42121,0.212,-0.032,0.489
42171,-0.422,-0.118,1.609
42223,-0.275,0.105,1.179
42273,-0.502,-0.336,1.937
42329,0.498,0.220,0.584
42381,0.060,-0.063,0.542
42432,-0.905,-0.044,1.921
42482,-1.073,0.323,1.834
42534,0.325,-0.611,1.317
42584,-0.066,0.639,1.441
42636,0.541,-0.798,0.212
42687,0.469,-0.227,0.303
42738,0.534,1.107,0.477
42789,0.178,-0.396,0.469
42840,0.170,-0.057,0.803
42890,-0.523,0.407,1.787
42942,-0.286,0.078,1.480
42992,-0.810,-0.157,1.652
43044,-0.367,-0.041,1.637
43095,0.612,-0.258,0.640
43146,0.568,0.472,0.637
43196,0.996,-0.220,0.433
43248,0.508,-0.025,0.283
43299,0.662,-0.208,0.505
43350,-0.188,-0.504,0.975
43400,-0.110,0.855,0.920
43452,-1.489,0.430,1.970
43502,-0.869,-0.474,1.900
43554,0.511,0.504,0.679
43605,0.416,0.114,0.431
43656,1.143,-0.074,0.546
43707,0.739,0.071,0.710
43758,0.770,-0.265,0.371
43809,-0.218,0.459,0.587
43860,0.018,0.073,0.836
43910,-1.354,-0.410,1.953
43962,-0.398,0.017,1.714
44012,-0.147,0.567,1.569
44064,-0.157,-0.180,1.670
44114,0.948,0.146,0.699
44166,0.678,-0.331,0.498
44217,0.864,0.288,0.729
44268,0.178,0.551,0.201
44318,0.074,-0.415,0.986
44370,-0.174,0.595,1.591
44420,-0.981,-0.261,1.844
44472,-0.033,-0.996,1.261
44522,0.682,0.425,1.037
44574,0.812,0.097,0.679
44625,0.878,-0.345,0.479
44676,0.413,0.292,0.340
44726,0.497,-0.193,0.467
44786,0.839,-0.385,0.568
44837,0.302,0.456,0.379
44888,0.022,0.888,0.726
44939,-0.274,-0.047,1.403
44990,-1.107,0.071,1.970
45041,-0.683,-0.555,1.970
45092,-0.223,-0.299,1.376
45142,0.384,-0.681,0.329
45194,0.753,-0.441,0.500
45245,0.706,-0.209,0.463
45296,0.408,-0.097,0.658
45347,0.176,-0.227,0.696
45398,-0.642,0.882,1.185
45448,-0.915,-0.062,1.619
45500,-0.570,-0.208,1.611
45551,-0.202,0.213,1.468
45602,0.726,-0.104,0.714
45652,0.594,-0.283,0.574
45704,0.678,-0.502,0.349
