Time(ms),Ax(g),Ay(g),Az(g)
130725,1.049,-0.710,0.377
130926,1.003,0.450,-0.020
131127,1.369,2.000,0.031
131328,0.567,1.686,0.038
131529,0.225,0.332,-0.119
131730,0.446,-1.025,0.132
131931,0.648,-0.663,-0.055
132132,1.041,-1.471,-0.413
132333,1.328,-2.000,-0.176
132534,0.838,-2.000,0.938
132735,0.991,-0.642,1.280
132936,0.191,0.693,0.994
133137,-0.535,0.125,1.970
133338,0.174,-0.329,1.894
133539,-0.763,0.177,1.970
133740,-0.987,-2.000,1.970
133941,0.874,-1.582,1.892
134142,1.350,-0.647,1.970
134343,1.533,0.715,1.205
134544,0.859,0.427,0.019
134745,0.903,0.385,0.170
134946,0.810,-0.360,0.106
135147,0.783,0.489,-0.140
135348,0.721,-0.378,-0.390
135549,0.611,-0.572,-0.176
135750,-0.885,-0.352,0.049
135951,-1.465,1.981,1.182
136152,-1.378,2.000,1.899
136353,-1.980,1.666,1.970
136554,-0.449,-0.299,1.658
136755,0.808,-0.902,0.202
136956,0.900,1.484,0.335
137157,0.806,0.812,0.054
137358,0.955,2.000,0.438
137559,0.455,-0.150,-0.219
137760,1.384,-1.348,0.326
137961,1.050,-2.000,0.418
138162,0.848,-1.161,1.015
138363,0.555,0.077,1.247
138564,-0.228,0.791,1.442
138765,0.088,-1.074,1.944
138966,1.188,-2.000,1.390
139175,-1.980,2.000,1.970
139377,-0.582,0.067,1.546
139578,0.844,-1.014,0.932
139779,0.338,-0.494,1.351
139980,1.002,0.775,0.640
140181,1.504,2.000,0.343
140382,0.524,1.131,0.085
140583,0.476,0.071,-0.128
140784,0.594,-2.000,0.169
140985,1.323,-1.250,1.610
141186,0.255,0.235,1.540
141387,-0.536,0.721,1.675
141588,-0.015,-1.961,1.813
141789,-0.579,-1.223,1.970
141990,0.590,-1.638,1.734
142191,1.039,0.203,1.970
142392,1.206,0.694,1.043
142593,0.663,0.636,0.465
142794,0.661,0.570,0.272
142995,0.732,-0.245,-0.363
143196,0.893,-0.004,-0.406
143397,0.658,-0.240,0.159
143598,0.530,0.018,-0.150
143799,-0.487,-1.467,-0.207
144000,-0.924,1.046,0.501
144201,-1.980,2.000,1.970
144402,-1.980,1.840,1.970
144603,-1.980,0.420,1.970
144804,0.759,-0.287,0.964
145005,1.119,0.547,0.004
145206,0.923,0.502,0.091
145407,0.648,2.000,0.365
145608,0.272,0.092,-0.048
145809,1.207,-2.000,0.447
146010,1.086,-2.000,0.610
146211,0.438,0.427,1.216
146412,-0.141,0.388,1.299
146613,0.151,-1.711,1.970
146814,0.526,-1.535,1.970
147015,1.183,-0.366,1.970
147216,0.645,1.153,1.043
147417,0.871,0.445,0.057
147618,0.860,0.503,0.039
147819,0.799,-0.424,0.083
148020,0.709,0.197,-0.346
148221,0.351,0.012,0.053
148422,-0.243,-0.993,-0.379
148623,-1.152,0.387,0.821
148824,-1.980,2.000,1.970
149025,-1.980,1.553,1.970
149226,-1.980,0.634,1.970
149427,0.863,-0.911,0.637
149628,0.945,-0.757,0.463
149829,1.114,0.319,0.244
150030,0.992,2.000,0.525
150231,0.183,0.721,0.020
150432,0.465,-2.000,0.801
150633,1.165,-2.000,1.108
150834,0.583,0.069,1.143
151035,-0.186,0.421,1.461
151236,-0.423,-1.196,1.970
151437,-0.296,-0.159,1.569
151638,0.502,-2.000,1.855
151839,1.697,-0.365,1.804
152040,0.779,0.963,0.396
152241,0.757,0.273,0.020
152442,1.014,-0.208,-0.245
152643,0.723,0.093,-0.124
152844,0.781,-0.269,-0.138
153045,0.285,-0.558,-0.179
153246,-0.926,-0.793,-0.119
153447,-1.135,2.000,0.791
153648,-1.980,2.000,1.970
153849,-1.980,1.296,1.970
154050,-0.703,-0.292,1.970
154251,0.842,-0.854,0.153
154452,1.333,2.000,0.639
154653,0.452,1.676,-0.161
154854,0.088,0.879,-0.052
155055,0.579,-2.000,0.216
155256,1.516,-2.000,0.562
155457,0.792,-0.449,1.092
155658,0.227,0.854,1.307
155859,-0.171,-0.427,1.580
156060,0.347,-1.267,1.854
